Aparência;Temperatura;Umidade;Vento;Jogar
Ensolarado;85;85;Fraco;Não
Ensolarado;80;90;Forte;Não
Nublado;83;86;Fraco;Sim
Chuvoso;70;96;Fraco;Sim
Chuvoso;68;80;Fraco;Sim
Chuvoso;65;70;Forte;Não
Nublado;64;65;Forte;Sim
Ensolarado;72;95;Fraco;Não
Ensolarado;69;70;Fraco;Sim
Chuvoso;75;80;Fraco;Sim
Ensolarado;75;70;Forte;Sim
Nublado;72;90;Forte;Sim
Nublado;81;75;Fraco;Sim
Chuvoso;71;91;Forte;Não
Ensolarado;90;88;Forte;Não
Ensolarado;66;60;Fraco;Sim
Nublado;70;72;Fraco;Sim
Chuvoso;62;96;Forte;Não
Chuvoso;69;78;Fraco;Sim
Ensolarado;74;80;Fraco;Sim
Nublado;78;82;Fraco;Sim
Ensolarado;88;92;Forte;Não
Chuvoso;64;85;Fraco;Sim
Nublado;67;70;Forte;Sim
Ensolarado;76;95;Fraco;Não
Ensolarado;68;65;Fraco;Sim
Chuvoso;72;88;Forte;Não
Nublado;73;60;Fraco;Sim
Ensolarado;82;75;Forte;Sim
Chuvoso;59;90;Fraco;Não
Ensolarado;71;83;Fraco;Não
Nublado;69;68;Fraco;Sim
Chuvoso;77;79;Forte;Não
Ensolarado;63;55;Fraco;Sim
Nublado;85;66;Forte;Sim
Chuvoso;80;88;Fraco;Não
Ensolarado;79;69;Fraco;Sim
Nublado;65;60;Fraco;Sim
Chuvoso;68;92;Forte;Não
Ensolarado;73;77;Fraco;Sim
Nublado;76;81;Fraco;Sim
Chuvoso;61;75;Fraco;Sim
Ensolarado;84;90;Forte;Não
Nublado;62;64;Fraco;Sim
Ensolarado;67;72;Forte;Sim
Chuvoso;70;86;Fraco;Sim
Nublado;80;73;Fraco;Sim
Ensolarado;86;89;Forte;Não
Chuvoso;66;68;Fraco;Sim
Ensolarado;75;85;Fraco;Não
Nublado;74;69;Forte;Sim
Chuvoso;69;82;Forte;Não
Ensolarado;61;58;Fraco;Sim
Nublado;68;87;Fraco;Sim
Chuvoso;78;91;Forte;Não
Ensolarado;77;74;Fraco;Sim
Nublado;71;65;Fraco;Sim
Chuvoso;83;93;Forte;Não
Ensolarado;64;70;Fraco;Sim
Nublado;79;76;Fraco;Sim
Chuvoso;60;80;Fraco;Sim
Ensolarado;81;88;Forte;Não
Nublado;66;62;Fraco;Sim
Chuvoso;67;84;Fraco;Sim
Ensolarado;70;79;Fraco;Sim
Ensolarado;68;66;Fraco;Sim
Nublado;72;70;Fraco;Sim
Chuvoso;63;90;Forte;Não
Ensolarado;85;78;Forte;Não
Nublado;69;73;Fraco;Sim
Chuvoso;71;88;Fraco;Não
Ensolarado;76;82;Fraco;Sim
Nublado;77;74;Fraco;Sim
Chuvoso;65;95;Forte;Não
Ensolarado;73;60;Fraco;Sim
Nublado;66;67;Fraco;Sim
Chuvoso;60;83;Fraco;Sim
Ensolarado;84;92;Forte;Não
Nublado;70;69;Fraco;Sim
Chuvoso;72;86;Forte;Não
Ensolarado;69;71;Fraco;Sim
Nublado;78;80;Fraco;Sim
Chuvoso;62;94;Forte;Não
Ensolarado;74;76;Fraco;Sim
Nublado;64;65;Fraco;Sim
Chuvoso;79;88;Forte;Não
Ensolarado;67;59;Fraco;Sim
Nublado;71;72;Fraco;Sim
Chuvoso;68;85;Fraco;Não
Ensolarado;80;90;Forte;Não
Nublado;63;66;Fraco;Sim
Chuvoso;75;87;Fraco;Não
Ensolarado;70;73;Fraco;Sim
Nublado;76;79;Fraco;Sim
Chuvoso;61;91;Forte;Não
Ensolarado;65;58;Fraco;Sim
Nublado;82;76;Fraco;Sim
Chuvoso;69;89;Fraco;Não
Ensolarado;77;84;Fraco;Sim
Nublado;68;64;Fraco;Sim
Chuvoso;74;92;Forte;Não
Ensolarado;62;61;Fraco;Sim
Nublado;79;75;Fraco;Sim
Chuvoso;66;83;Fraco;Sim
Ensolarado;83;91;Forte;Não
Nublado;67;70;Fraco;Sim
Chuvoso;73;86;Fraco;Não
Ensolarado;71;69;Fraco;Sim
Nublado;75;78;Fraco;Sim
Chuvoso;64;90;Forte;Não
Ensolarado;86;88;Forte;Não
Nublado;72;68;Fraco;Sim
Chuvoso;70;82;Fraco;Sim
Ensolarado;66;63;Fraco;Sim
Nublado;81;77;Fraco;Sim
Chuvoso;59;95;Fraco;Não
Ensolarado;78;80;Fraco;Sim
Nublado;69;65;Fraco;Sim
Chuvoso;76;89;Forte;Não
Ensolarado;63;57;Fraco;Sim
Nublado;74;71;Fraco;Sim
Chuvoso;67;84;Fraco;Sim
Ensolarado;88;93;Forte;Não
Nublado;70;66;Fraco;Sim
Chuvoso;72;85;Fraco;Não
Ensolarado;75;81;Fraco;Sim
Nublado;65;62;Fraco;Sim
Chuvoso;71;90;Forte;Não
Ensolarado;68;74;Fraco;Sim
Nublado;77;73;Fraco;Sim
Chuvoso;63;88;Fraco;Não
Ensolarado;82;86;Forte;Não
Nublado;66;69;Fraco;Sim
Chuvoso;74;91;Fraco;Não
Ensolarado;70;72;Fraco;Sim
Nublado;73;75;Fraco;Sim
Chuvoso;61;87;Fraco;Sim
Ensolarado;79;89;Forte;Não
Nublado;64;60;Fraco;Sim
Chuvoso;69;83;Fraco;Sim
Ensolarado;76;85;Fraco;Sim
Nublado;68;67;Fraco;Sim
Chuvoso;62;92;Forte;Não
Ensolarado;81;90;Forte;Não
Nublado;71;70;Fraco;Sim
Chuvoso;65;86;Fraco;Sim
Ensolarado;67;64;Fraco;Sim
Nublado;78;82;Fraco;Sim
Chuvoso;60;84;Fraco;Sim
Ensolarado;85;91;Forte;Não
Nublado;69;68;Fraco;Sim
Chuvoso;72;88;Fraco;Não
Ensolarado;73;77;Fraco;Sim
Nublado;66;63;Fraco;Sim
Chuvoso;75;90;Forte;Não
Ensolarado;64;59;Fraco;Sim
Nublado;80;74;Fraco;Sim
Chuvoso;68;81;Fraco;Sim